Proto   Source Address & Port                           Destination Address & Port
tcp     192.168.1.215:51845                             52.210.4.135:443
udp     192.168.1.215:47568                             5.189.58.139:46437
tcp     192.168.1.203:51267                             17.252.92.23:5223
udp     192.168.1.215:57229                             192.168.1.1:53
tcp     192.168.1.217:52690                             77.234.45.70:80
udp     176.8.197.126:59390                             193.41.60.2:53
tcp     10.8.0.2:52039                                  192.168.1.1:80
tcp     192.168.1.103:35743                             35.190.25.25:443
udp     192.168.1.215:47568                             51.15.4.13:1337
tcp     192.168.1.217:54788                             185.192.251.57:443
udp     192.168.1.215:47568                             178.91.8.127:10381
tcp     192.168.1.215:53630                             81.23.20.45:443
tcp     192.168.1.103:53787                             172.217.16.42:443
tcp     192.168.1.215:53599                             216.58.198.86:443
tcp     192.168.1.237:58778                             104.24.106.189:443
udp     192.168.1.103:37065                             4.2.2.2:53
udp     192.168.1.103:37083                             8.8.8.8:53
tcp     10.8.0.2:49630                                  198.252.206.25:443
tcp     192.168.1.215:53617                             172.217.20.195:443
udp     192.168.1.103:60784                             74.125.232.26:443
tcp     192.168.1.103:52517                             216.58.206.170:443
udp     192.168.1.103:56568                             74.125.232.80:443
tcp     192.168.1.215:53627                             93.184.220.29:80
udp     192.168.1.215:47568                             95.174.208.176:36092
tcp     192.168.1.103:39550                             216.58.206.170:443
tcp     192.168.1.103:57056                             185.60.216.11:443
udp     192.168.1.103:37294                             8.8.8.8:53
udp     176.8.197.126:64364                             193.41.60.2:53
udp     192.168.1.215:55427                             192.168.1.1:53
udp     192.168.1.103:49526                             173.194.122.160:443
udp     176.8.197.126:65534                             193.41.60.2:53
udp     192.168.1.103:44810                             8.8.8.8:53
tcp     192.168.1.103:45491                             216.58.206.170:443
tcp     192.168.1.215:49672                             40.67.254.97:443
tcp     192.168.1.103:38881                             173.194.222.188:5228
tcp     192.168.1.103:58293                             193.187.79.243:80
udp     192.168.1.103:56902                             74.125.232.43:443
tcp     192.168.1.215:56187                             17.252.28.29:5223
udp     192.168.1.103:38075                             8.8.8.8:53
udp     176.8.197.126:9126                              193.41.60.2:53
udp     192.168.1.215:53723                             192.168.1.1:53
udp     192.168.1.103:60791                             74.125.232.10:443
udp     192.168.1.103:39163                             8.8.8.8:53
udp     192.168.1.215:47568                             89.19.201.180:13957
udp     192.168.1.215:47568                             94.43.206.128:14365
tcp     192.168.1.103:35796                             209.85.233.188:5228
tcp     10.8.0.2:52040                                  192.168.1.1:80
tcp     192.168.1.217:56168                             18.184.103.143:5222
udp     192.168.1.103:56320                             8.8.8.8:53
tcp     10.8.0.2:49640                                  198.252.206.25:443
udp     192.168.1.103:56904                             8.8.8.8:53
udp     192.168.1.215:62982                             192.168.1.1:53
tcp     192.168.1.215:51800                             52.0.253.63:443
udp     192.168.1.215:47568                             195.91.233.97:59548
udp     192.168.1.103:34746                             8.8.8.8:53
tcp     192.168.1.103:45877                             216.58.209.74:443
udp     192.168.1.77:43471                              18.196.29.221:8765
udp     176.8.197.126:63897                             193.41.60.2:53
tcp     192.168.1.215:53623                             173.194.122.162:80
udp     192.168.1.215:62185                             192.168.1.1:53
tcp     192.168.1.103:41134                             172.217.16.42:443
tcp     192.168.1.103:35815                             52.0.252.104:443
udp     127.0.0.1:63471                                 127.0.0.1:53
tcp     192.168.1.103:47357                             216.58.215.106:443
tcp     192.168.1.103:55248                             216.58.215.106:443
tcp     192.168.1.103:42524                             74.125.205.108:993
udp     192.168.1.215:47568                             5.3.173.6:20331
udp     192.168.1.103:43685                             172.217.16.42:443
udp     192.168.1.103:46065                             8.8.8.8:53
tcp     192.168.1.103:38692                             104.24.57.4:443
udp     176.8.197.126:57870                             193.41.60.2:53
udp     192.168.1.215:53181                             192.168.1.1:53
udp     192.168.1.217:60761                             213.183.45.209:800
tcp     192.168.1.215:49424                             40.67.252.206:443
udp     192.168.1.215:58431                             192.168.1.1:53
tcp     192.168.1.103:49963                             52.0.252.16:443
tcp     192.168.1.237:43745                             64.233.161.188:5228
tcp     192.168.1.103:39071                             52.16.24.51:5223
tcp     192.168.1.215:53596                             74.125.232.8:443
tcp     192.168.1.103:49441                             13.32.158.17:80
udp     192.168.1.217:52076                             192.168.1.1:53
udp     192.168.1.103:35781                             8.8.8.8:53
tcp     192.168.1.215:53603                             173.194.122.173:443
udp     176.8.197.126:23667                             193.41.60.2:53
udp     192.168.1.215:47568                             185.43.86.238:23557
udp     192.168.1.215:59074                             192.168.1.1:53
tcp     192.168.1.215:51849                             185.38.12.58:80
udp     192.168.1.215:60870                             192.168.1.1:53
tcp     89.64.12.46:4627                                176.8.197.126:1194
tcp     192.168.1.237:58075                             78.29.1.69:80
tcp     10.8.0.2:49350                                  17.252.28.32:5223
udp     192.168.1.215:55874                             192.168.1.1:53
tcp     192.168.1.103:54724                             185.60.216.11:443
tcp     192.168.1.217:35252                             64.233.162.188:5228
udp     192.168.1.217:64140                             192.168.1.1:53
udp     192.168.1.103:37969                             8.8.8.8:53
udp     192.168.1.215:47568                             5.166.63.150:48175
udp     192.168.1.215:47568                             146.120.179.66:1160
tcp     192.168.1.103:52803                             74.125.232.80:443
udp     10.8.0.2:19654                                  192.168.1.1:53
tcp     192.168.1.217:50240                             34.252.18.36:80
udp     176.8.197.126:24973                             193.41.60.2:53
tcp     192.168.1.217:41582                             157.240.20.32:443
udp     192.168.1.215:47568                             178.159.234.228:9970
tcp     10.8.0.2:49381                                  17.188.166.16:5223
udp     192.168.1.103:40582                             8.8.8.8:53
tcp     192.168.1.103:58236                             193.187.79.243:80
udp     176.8.197.126:4927                              193.41.60.2:53
udp     176.8.197.126:53022                             193.41.60.2:53
tcp     192.168.1.215:53616                             74.125.232.58:443
udp     192.168.1.215:47568                             95.46.131.66:27577
udp     192.168.1.103:45816                             74.125.232.73:443
udp     192.168.1.215:46045                             192.168.1.1:53
udp     192.168.1.103:52331                             8.8.8.8:53
tcp     192.168.1.215:53604                             173.194.122.167:443
tcp     192.168.1.103:40661                             216.58.215.78:443
tcp     192.168.1.77:40388                              94.130.90.107:2979
udp     192.168.1.215:47568                             5.167.220.221:64944
tcp     10.8.0.2:49628                                  198.252.206.25:443
udp     192.168.1.103:50403                             8.8.8.8:53
udp     192.168.1.103:38158                             8.8.8.8:53
udp     192.168.1.215:47568                             84.39.244.68:11678
udp     176.8.197.126:53022                             193.41.60.1:53
udp     192.168.1.103:48935                             8.8.8.8:53
udp     192.168.1.103:46342                             216.58.209.118:443
udp     192.168.1.215:47568                             79.170.30.218:50433
tcp     192.168.1.215:53633                             173.194.122.162:80
udp     192.168.1.215:50597                             192.168.1.1:53
tcp     192.168.1.215:53448                             149.154.167.51:443
tcp     192.168.1.103:42380                             74.125.205.188:5228
tcp     192.168.1.103:41591                             185.60.216.32:443
udp     192.168.1.215:47568                             5.164.190.98:17577
udp     192.168.1.103:49360                             173.194.122.160:443
udp     192.168.1.215:52117                             192.168.1.1:53
tcp     192.168.1.215:53441                             178.159.234.228:9970
udp     192.168.1.103:40898                             8.8.8.8:53
udp     192.168.1.215:55329                             192.168.1.1:53
udp     192.168.1.215:63348                             192.168.1.1:53
tcp     192.168.1.215:53601                             172.217.20.196:443
udp     192.168.1.237:47492                             172.217.16.42:443
tcp     192.168.1.215:51692                             64.233.161.188:5228
tcp     192.168.1.103:36680                             172.217.20.170:443
tcp     10.8.0.2:52041                                  192.168.1.1:80
tcp     192.168.1.215:53425                             31.47.113.245:51413
tcp     192.168.1.215:53622                             172.217.20.202:443
tcp     192.168.1.103:45074                             74.125.232.78:443
udp     192.168.1.103:31491                             8.8.8.8:53
tcp     192.168.1.103:53739                             172.217.16.42:443
